tick,amountA,amountB
0,219362.65571798093,1862.7731827102589
1,219362.65571798093,1862.7731827102589
2,219362.655638762,1862.7731833849905
3,219362.65565133234,1862.7731832785664
4,219362.6556364942,1862.7731834049475
5,219362.6556464549,1862.7731833206176
6,219362.6556922455,1862.7731831018552
7,219362.65574086353,1862.7731828927763
8,219362.65580718598,1862.7731824867553
9,219362.65584402377,1862.7731824171801
10,219362.6557650233,1862.7731823185015
11,219362.6557650233,1862.7731823185015
12,219362.65579062968,1862.7731821017105
13,219362.65575060033,1862.7731824426528
14,219362.65569536234,1862.7731829131312
15,219362.65575394043,1862.7731824171929
16,219362.65578862696,1862.7731823718698
17,219362.65575937633,1862.7731823719166
18,219362.6557921146,1862.7731820947458
19,219362.6558211455,1862.77318212655
20,219362.6558338073,1862.7731822340709
21,219362.6557844383,1862.7731821607729
22,219362.65577605256,1862.7731822321966
23,219362.65577605256,1862.7731822321966
24,219362.6556921473,1862.7731829468432
25,219362.65570627945,1862.7731828271965
26,219362.65569505744,1862.773182922778
27,219362.65568382916,1862.7731830184125
28,219362.65571179608,1862.773182781637
29,219362.65576518638,1862.7731824877078
30,219362.65572718863,1862.7731826527825
31,219362.65569229273,1862.7731829500017
32,219362.65572054274,1862.7731827108294
33,219362.65570399366,1862.7731828517828
34,219362.6557234143,1862.7731826873621
35,219362.6556864138,1862.7731830025064
36,219362.6556590593,1862.7731832354932
37,219362.65564913777,1862.773183319998
38,219362.65564913777,1862.773183319998
39,219362.6556384057,1862.773183411406
40,219362.65566624625,1862.7731831757003
41,219362.65568016653,1862.7731832939078
42,219362.65563792174,1862.773183416949
43,219362.6556301251,1862.773183483355
44,219362.65564414134,1862.7731833646899
45,219362.65563507326,1862.7731834419253
46,219362.65567203547,1862.773183128993
47,219362.65570788883,1862.7731830343841
48,219362.65573739514,1862.7731829175978
49,219362.65569789437,1862.7731829110512
50,219362.655726678,1862.7731826673612
51,219362.6556950009,1862.7731829371644
52,219362.65573886014,1862.77318256584
53,219362.6557534799,1862.7731826899872
54,219362.6557171939,1862.7731827503778
55,219362.65570238055,1862.7731828765477
56,219362.65572823797,1862.7731826576317
57,219362.65575621842,1862.7731825669052
58,219362.65569102805,1862.7731829755478
59,219362.65568167195,1862.7731830552366
60,219362.65565507364,1862.7731832817824
61,219362.65565507364,1862.7731832817824
62,219362.65564505203,1862.7731833671396
63,219362.6557016675,1862.7731828878175
64,219362.655741201,1862.7731827931375
65,219362.65569596435,1862.7731829376878
66,219362.65568527643,1862.77318302872
67,219362.65568527643,1862.77318302872
68,219362.65571871764,1862.7731827455978
69,219362.65577938623,1862.773182420993
70,219362.65581506866,1862.7731823288425
71,219362.65573687293,1862.7731825946794
72,219362.6557238523,1862.7731827055798
73,219362.65568932798,1862.7731829996342
74,219362.65564383435,1862.7731833871173
75,219362.65564383435,1862.7731833871173
76,219362.6557066967,1862.773183067535
77,219362.65569415825,1862.7731829610614
78,219362.6557074249,1862.7731828487422
79,219362.65568872617,1862.7731830080052
80,219362.65571209777,1862.7731828101346
81,219362.65571209777,1862.7731828101346
82,219362.6557336067,1862.773182628034
83,219362.6557131208,1862.7731828025182
84,219362.65575334485,1862.7731824619707
85,219362.65579494362,1862.7731823371573
86,219362.65587140218,1862.7731819288676
87,219362.65583122606,1862.7731818032535
88,219362.65585834312,1862.773181573673
89,219362.6558719016,1862.7731816888088
90,219362.65589359234,1862.7731817297713
91,219362.65592650534,1862.77318159435
92,219362.6559681715,1862.7731814490485
93,219362.65590834589,1862.7731811509655
94,219362.65590834589,1862.7731811509655
95,219362.6558788494,1862.7731814021959
96,219362.65583856555,1862.7731817453057
97,219362.6558673048,1862.7731815019913
98,219362.65583253672,1862.7731817981214
99,219362.6558226718,1862.7731818821444
100,219362.65583174175,1862.7731818053553
