tick,amountA,amountB
0,224994.34627831468,1807.6683876065115
1,224994.34627831468,1807.6683876065115
2,224994.34628945004,1807.6683876959762
3,224994.34626410413,1807.6683877210266
4,224994.346235835,1807.6683879488323
5,224994.34627057612,1807.6683876712286
6,224994.346248047,1807.6683881145518
7,224994.34626165533,1807.6683877445587
8,224994.3463014309,1807.6683875857245
9,224994.34634641622,1807.668387464585
10,224994.3463423381,1807.6683876587872
11,224994.3462913478,1807.6683875081746
12,224994.3462832989,1807.6683875730364
13,224994.34630627517,1807.6683873893617
14,224994.3463018175,1807.6683875895767
15,224994.34632006407,1807.6683872796182
16,224994.34637016727,1807.6683871065609
17,224994.34639463457,1807.6683871024402
18,224994.3464862936,1807.6683865689324
19,224994.34650212363,1807.6683866961155
20,224994.3465133093,1807.6683868812554
21,224994.34639279108,1807.6683866997078
22,224994.3463927248,1807.6683867008287
23,224994.34634039484,1807.6683872203353
24,224994.34637221223,1807.668386867958
25,224994.3463356972,1807.6683873654918
26,224994.34635845755,1807.6683869805079
27,224994.34639416268,1807.668386883786
28,224994.34639512326,1807.6683870684158
29,224994.34639512326,1807.6683870684158
